hour,open,high,low,close,volume
2018/07/09 19:00:00,480.72,482.0,479.88,480.77,1602.84753
2018/07/09 20:00:00,480.77,484.5,480.54,482.52,2182.23832
2018/07/09 21:00:00,482.51,482.82,479.42,480.28,2039.5124600000001
2018/07/09 22:00:00,480.27,484.01,479.2,482.65,6027.35944
2018/07/09 23:00:00,482.65,482.88,480.36,482.0,2545.73266
2018/07/10 00:00:00,482.0,482.23,479.07,480.24,3682.0202299999996
2018/07/10 01:00:00,480.27,480.35,475.1,478.05,6866.41105
2018/07/10 02:00:00,478.04,478.85,473.01,476.14,6042.21997
2018/07/10 03:00:00,476.14,476.48,473.63,475.59,1838.8800800000001
2018/07/10 04:00:00,475.82,478.0,475.2,477.14,1356.53569
2018/07/10 05:00:00,477.13,477.34,475.78,476.24,1227.92811
2018/07/10 06:00:00,476.22,477.99,475.61,477.82,907.1546699999999
2018/07/10 07:00:00,477.98,484.0,475.0,477.09,7270.1591400000025
2018/07/10 08:00:00,477.02,478.67,468.2,471.71,9790.4324
2018/07/10 09:00:00,471.73,473.23,467.12,471.07,5566.34216
2018/07/10 10:00:00,471.67,472.23,469.03,469.72,2196.7103
2018/07/10 11:00:00,469.72,470.65,450.0,458.6,15058.59668
2018/07/10 12:00:00,458.25,463.09,456.75,458.95,11569.94157
2018/07/10 13:00:00,458.5,464.0,457.42,462.2,4811.43013
2018/07/10 14:00:00,462.73,463.54,455.74,458.5,4968.26149
2018/07/10 15:00:00,458.26,458.76,452.95,456.67,9382.70663
2018/07/10 16:00:00,456.7,457.3,454.38,456.6,6085.815
2018/07/10 17:00:00,456.73,459.51,455.0,456.42,4882.24036
2018/07/10 18:00:00,456.17,456.6,442.32,445.48,18448.84689
2018/07/10 19:00:00,445.6,449.28,444.58,448.17,10119.80672
2018/07/10 20:00:00,448.13,448.92,427.69,435.18,16855.2638
2018/07/10 21:00:00,435.09,437.38,431.2,435.86,9586.9938
2018/07/10 22:00:00,435.86,441.97,434.53,440.03,8224.58783
2018/07/10 23:00:00,440.07,441.81,434.0,440.51,10048.63853
2018/07/11 00:00:00,440.51,441.66,438.01,440.71,3287.4931100000013
2018/07/11 01:00:00,440.46,444.42,434.8,438.26,6400.182070000003
2018/07/11 02:00:00,438.38,438.66,433.22,434.6,4258.30438
2018/07/11 03:00:00,434.81,439.78,433.61,437.0,3046.09711
2018/07/11 04:00:00,437.0,438.51,435.46,438.02,3016.7351
2018/07/11 05:00:00,438.02,441.29,437.65,440.65,3156.5449
2018/07/11 06:00:00,440.74,442.33,439.48,439.85,1961.63675
2018/07/11 07:00:00,439.85,440.4,437.3,437.67,1632.5149
2018/07/11 08:00:00,437.67,437.9,428.92,432.48,9075.28599
2018/07/11 09:00:00,432.55,440.99,430.99,439.96,8034.94037
2018/07/11 10:00:00,439.96,440.98,436.97,438.41,2681.1768
2018/07/11 11:00:00,438.41,438.8,436.49,437.88,1254.3755800000001
2018/07/11 12:00:00,437.97,438.73,431.31,432.15,4635.4066600000015
2018/07/11 13:00:00,432.15,435.72,430.2,433.71,4732.768
